experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Insider_Threat,12345,68,False,0,0,1505.0,2,7.0,21937.78695338814
Solver_Insider_Threat,12345,69,False,0,0,105.0,0,2.0,2124.7456874981494
Solver_Insider_Threat,12345,70,True,50,50,17278.74094105521,0,,21625.972422140327
Solver_Insider_Threat,12345,71,False,0,0,450.0,0,,22016.32445338763
Solver_Insider_Threat,12345,72,False,0,0,85.0,0,2.0,2834.9008937497674
Solver_Insider_Threat,12345,73,False,0,0,1005.0,1,,21625.97242213803
Solver_Insider_Threat,12345,74,False,0,0,430.0,0,,21677.642922140352
Solver_Insider_Threat,12345,75,False,0,0,950.0,1,,22016.32445338778
Solver_Insider_Threat,12345,76,True,50,50,17203.74094105521,0,,22588.99692213528
Solver_Insider_Threat,12345,77,False,0,0,450.0,0,,22016.324453387475
Solver_Insider_Threat,12345,78,False,0,0,505.0,0,,21625.97242213935
Solver_Insider_Threat,12345,79,False,0,0,930.0,1,,22588.996922137772
Solver_Insider_Threat,12345,80,False,0,0,950.0,1,7.0,22016.32445338796
Solver_Insider_Threat,12345,81,False,0,0,1505.0,2,,21977.152628388263
Solver_Insider_Threat,12345,82,False,0,0,930.0,1,,21677.64292213706
Solver_Insider_Threat,12345,83,False,0,0,25.0,0,1.0,1028.625000000018
Solver_Insider_Threat,12345,84,False,0,0,930.0,1,,22055.496278387902
Solver_Insider_Threat,12345,85,False,0,0,2005.0,3,,21977.15262839043
Solver_Insider_Threat,12345,86,True,50,50,17723.74094105521,1,,22016.324453386278
Solver_Insider_Threat,12345,87,True,50,50,17203.74094105521,0,,21677.642922137828
Solver_Insider_Threat,12345,88,True,50,50,17778.74094105521,1,,21625.97242213948
Solver_Insider_Threat,12345,89,False,0,0,1505.0,2,,21995.224453388113
Solver_Insider_Threat,12345,90,False,0,0,270.0,0,5.0,11940.709338207023
Solver_Insider_Threat,12345,91,False,0,0,790.0,1,5.0,11923.290731955094
Solver_Insider_Threat,12345,92,False,0,0,450.0,0,,22016.32445338737
Solver_Insider_Threat,12345,93,False,0,0,50.0,0,2.0,2536.850937500042
Solver_Insider_Threat,12345,94,False,0,0,450.0,0,7.0,22016.324453388217
Solver_Insider_Threat,12345,95,True,50,50,17223.74094105521,0,,21651.807672139286
Solver_Insider_Threat,12345,96,False,0,0,450.0,0,7.0,22038.07767213819
Solver_Insider_Threat,12345,97,False,0,0,370.0,0,6.0,17517.38566070946
